First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage
Gerolf,Annemans,Belgium,Nederlands Kiescollege,ENF,AGAINST,FOR - CORRECTED,YES,FOR,ABSTAINED,AGAINST,AGAINST,AGAINST,Vlaams Belang,Vlaams Belang,gerolf.annemans@europarl.europa.eu,gannemans,http://www.europarl.europa.eu/meps/en/124973/_home.html
Maria,Arena,Belgium,Collège électoral français,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti Socialiste,PS,maria.arena@europarl.europa.eu,Mariearenaps,http://www.europarl.europa.eu/meps/en/124936/_home.html
Pascal,Arimont,Belgium,Collège électoral germanophone,EPP,AGAINST,FOR,-,AGAINST,ABSTAINED,FOR,FOR,FOR,Christlich Soziale Partei,CSP,pascal.arimont@europarl.europa.eu,pascalarimont,http://www.europarl.europa.eu/meps/en/24922/_home.html
Hugues,Bayet,Belgium,Collège électoral français,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti Socialiste,PS,hugues.bayet@europarl.europa.eu,huguesbayet,http://www.europarl.europa.eu/meps/en/125002/_home.html
Ivo,Belet,Belgium,Nederlands Kiescollege,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Christen-Democratisch & Vlaams,CD&V,ivo.belet@europarl.europa.eu,ivobelet,http://www.europarl.europa.eu/meps/en/28257/_home.html
Mark,Demesmaeker,Belgium,Nederlands Kiescollege,ECR,AGAINST,FOR,-,AGAINST,AGAINST,FOR,AGAINST,AGAINST,Nieuw-Vlaamse Alliantie,NVA,mark.demesmaeker@europarl.europa.eu,markdemesmaeker,http://www.europarl.europa.eu/meps/en/117477/_home.html
Gérard,Deprez,Belgium,Collège électoral français,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Mouvement Réformateur,MR,gerard.deprez@europarl.europa.eu,gerardeprez,http://www.europarl.europa.eu/meps/en/1473/_home.html
Philippe,Lamberts,Belgium,Collège électoral français,Greens/EFA,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Ecologistes Confédérés pour l'organisation de Luttes Originales,Ecolo ,philippe.lamberts@europarl.europa.eu,ph_lamberts,http://www.europarl.europa.eu/meps/en/96648/_home.html
Louis,Michel,Belgium,Collège électoral français,ALDE,FOR,AGAINST,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,FOR,Mouvement Réformateur,MR,louis.michel@europarl.europa.eu,LouisMichel,http://www.europarl.europa.eu/meps/en/96670/_home.html
Ralph,Packet,Belgium,Nederlands Kiescollege,ECR,AGAINST,FOR,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,Nieuw-Vlaamse Alliantie,NVA,ralph.packet@europarl.europa.eu,ralphpacket,http://www.europarl.europa.eu/meps/en/195454/_home.html
