First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage
Dita,Charanzová,CR,-,ALDE,ABSTAINED,FOR - CORRECTED,-,AGAINST,FOR,AGAINST,ABSTAINED,ABSTAINED,ANO 2011,ANO,dita.charanzova@europarl.europa.eu,charanzova,http://www.europarl.europa.eu/meps/en/124708/_home.html
Martina,Dlabajová,CR,-,ALDE,ABSTAINED,FOR - CORRECTED,-,AGAINST,FOR,AGAINST,ABSTAINED,ABSTAINED,ANO 2011,ANO,martina.dlabajova@europarl.europa.eu,Mdlabajova,http://www.europarl.europa.eu/meps/en/124709/_home.html
Petr,Ježek,CR,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,ABSTAINED,AGAINST,ANO 2011,ANO,petr.jezek@europarl.europa.eu,JezekCZ,http://www.europarl.europa.eu/meps/en/124707/_home.html
Jan,Keller,CR,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,NOT PRESENT,Česká strana sociálně demokratická,ČSSD,jan.keller@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124695/_home.html
Jaromír,Kohlíček,CR,-,GUE/NGL,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,Komunistická strana Čech a Moravy,KSČM,jaromir.kohlicek@ep.europa.eu,kohlicekjaromir,http://www.europarl.europa.eu/meps/en/28331/_home.html
Kateřina,Konečná,CR,-,GUE/NGL,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Komunistická strana Čech a Moravy,KSČM,katerina.konecna@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/23699/_home.html
Jiří,Maštálka,CR,-,GUE/NGL,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,Komunistická strana Čech a Moravy,KSČM,jiri.mastalka@europarl.europa.eu,jirimastalka,http://www.europarl.europa.eu/meps/en/23704/_home.html
Luděk,Niedermayer,CR,-,EPP,ABSTAINED,FOR,-,AGAINST,ABSTAINED,FOR,FOR,ABSTAINED,TOP 09 a Starostové,TOP 09,ludek.niedermayer@europarl.europa.eu,ludeknie,http://www.europarl.europa.eu/meps/en/124701/_home.html
Jiří,Payne,CR,-,EFDD,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Strana svobodných občanů,Svobodní,jiri.payne@ep.europa.eu,JTP07,http://www.europarl.europa.eu/meps/en/189507/_home.html
Pavel,Poc,CR,-,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,FOR,AGAINST,FOR,ABSTAINED,Česká strana sociálně demokratická,ČSSD,pavel.poc@europarl.europa.eu,pavelpoc,http://www.europarl.europa.eu/meps/en/96715/_home.html
Miroslav,Poche,CR,-,S&D,ABSTAINED,FOR,-,AGAINST,FOR,AGAINST,FOR,NOT PRESENT,Česká strana sociálně demokratická,ČSSD,miroslav.poche@europarl.europa.eu,pochemep,http://www.europarl.europa.eu/meps/en/124699/_home.html
Stanislav,Polčák,CR,-,EPP,ABSTAINED,FOR,-,ABSTAINED,FOR,ABSTAINED,FOR,FOR,Starostové a nezávisli,STAN,stanislav.polcak@europarl.europa.eu,stanislavpolcak,http://www.europarl.europa.eu/meps/en/124704/_home.html
Jiří,Pospíšil,CR,-,EPP,AGAINST,FOR,-,ABSTAINED,FOR,ABSTAINED,FOR,ABSTAINED,TOP 09 a Starostové,TOP 09,jiri.pospisil@europarl.europa.eu,Pospisil_Jiri,http://www.europarl.europa.eu/meps/en/125706/_home.html
Olga,Sehnalová,CR,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Česká strana sociálně demokratická,ČSSD,olga.sehnalova@europarl.europa.eu,OlgaSehnalova,http://www.europarl.europa.eu/meps/en/96718/_home.html
Michaela,Šojdrová,CR,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Křesťanská a demokratická unie - Československá strana lidová,KDU-ČSL,michaela.sojdrova@europarl.europa.eu,msojdrova,http://www.europarl.europa.eu/meps/en/124710/_home.html
Jaromír,Štětina,CR,-,EPP,NOT PRESENT,FOR,-,FOR,FOR,AGAINST,AGAINST,ABSTAINED,TOP 09 a Starostové,TOP 09,jaromir.stetina@europarl.europa.eu,StetinaEP,http://www.europarl.europa.eu/meps/en/124702/_home.html
