First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage
Michèle,Alliot-Marie,France,Sud-Ouest,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,michele.alliot-marie@europarl.europa.eu,malliotmarie,http://www.europarl.europa.eu/meps/en/1179/_home.html
Eric,Andrieu,France,Sud-Ouest,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,eric.andrieu@europarl.europa.eu,Eric_Andrieu,http://www.europarl.europa.eu/meps/en/113892/_home.html
Marie-Christine,Arnautu,France,Sud-Est,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,marie-christine.arnautu@europarl.europa.eu,MCArnautu,http://www.europarl.europa.eu/meps/en/124748/_home.html
Jean,Arthuis,France,Ouest,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,ABSTAINED,FOR,FOR,Union des Démocrates et Indépendants,UDI,jean.arthuis@europarl.europa.eu,JeanArthuis,http://www.europarl.europa.eu/meps/en/124773/_home.html
Guillaume,Balas,France,Ile-de-France,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,guillaume.balas@europarl.europa.eu,BalasGuillaume,http://www.europarl.europa.eu/meps/en/124744/_home.html
Nicolas,Bay,France,Nord-Ouest,ENF,FOR,AGAINST,-,NOT PRESENT,AGAINST,FOR,FOR,AGAINST,Rassemblement national,RN,nicolas.bay@europarl.europa.eu,nicolasbay_,http://www.europarl.europa.eu/meps/en/124760/_home.html
Pervenche,Berès,France,Ile-de-France,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,pervenche.beres@europarl.europa.eu,PervencheBeres,http://www.europarl.europa.eu/meps/en/1985/_home.html
Joëlle,Bergeron,France,Ouest,EFDD,FOR,AGAINST,-,AGAINST,AGAINST,ABSTAINED,FOR,FOR,Sans étiquette,Sans étiquette,joelle.bergeron@europarl.europa.eu,jbergeronmep,http://www.europarl.europa.eu/meps/en/124740/_home.html
Dominique,Bilde,France,Est,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,dominique.bilde@europarl.europa.eu,dominiquebilde,http://www.europarl.europa.eu/meps/en/124771/_home.html
Marie-Christine,Boutonnet,France,Ile-de-France,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,marie-christine.boutonnet@europarl.europa.eu,mcboutonnetfn,http://www.europarl.europa.eu/meps/en/124753/_home.html
José,Bové,France,Sud-Ouest,Greens/EFA,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Europe écologie,EELV,jose.bove@europarl.europa.eu,josebove,http://www.europarl.europa.eu/meps/en/96744/_home.html
Steeve,Briois,France,Nord-Ouest,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,steeve.briois@europarl.europa.eu,steevebriois,http://www.europarl.europa.eu/meps/en/124757/_home.html
Alain,Cadec,France,Ouest,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,alain.cadec@europarl.europa.eu,AlainCadec,http://www.europarl.europa.eu/meps/en/96849/_home.html
Jean-Marie,Cavada,France,Ile-de-France,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,ABSTAINED,FOR,FOR,Generation Citoyens,GC,jean-marie.cavada@europarl.europa.eu,JeanMarieCAVADA,http://www.europarl.europa.eu/meps/en/28206/_home.html
Aymeric,Chauprade,France,Ile-de-France,EFDD,FOR,FOR,-,AGAINST,AGAINST,AGAINST,FOR,FOR,Les Français Libres,Les Français Libres,aymeric.chauprade@europarl.europa.eu,a_chauprade,http://www.europarl.europa.eu/meps/en/124752/_home.html
Jacques,Colombier,France,Sud-Ouest,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,jacques.colombier@ep.europa.eu,JColombierFN,http://www.europarl.europa.eu/meps/en/191510/_home.html
Thierry,Cornillet,France,Sud-Est,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,ABSTAINED,FOR,FOR,Parti Radical,Rad,thierry.cornillet@europarl.europa.eu,tcornillet,http://www.europarl.europa.eu/meps/en/4338/_home.html
Arnaud,Danjean,France,Est,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,arnaud.danjean@europarl.europa.eu,ArnaudDanjean,http://www.europarl.europa.eu/meps/en/96747/_home.html
Michel,Dantin,France,Sud-Est,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,dantin.michel@sp-eurodepute.eu,MichelDANTIN,http://www.europarl.europa.eu/meps/en/97296/_home.html
Rachida,Dati,France,Ile-de-France,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,rachida.dati@europarl.europa.eu,datirachida,http://www.europarl.europa.eu/meps/en/72775/_home.html
Angélique,Delahaye,France,Massif Central-Centre,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,angelique.delahaye@europarl.europa.eu,Delahaye_Europe,http://www.europarl.europa.eu/meps/en/124732/_home.html
Karima,Delli,France,Nord-Ouest,Greens/EFA,ABSTAINED,FOR - CORRECTED,-,FOR,FOR,AGAINST,ABSTAINED,FOR,Europe écologie,EELV,karima.delli@europarl.europa.eu,KarimaDelli,http://www.europarl.europa.eu/meps/en/96868/_home.html
Geoffroy,Didier,France,Île-de-France,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,geoffroy.didier@ep.europa.eu,GeoffroyDidier,http://www.europarl.europa.eu/meps/en/190774/_home.html
Mireille,D'Ornano,France,Sud-Est,EFDD,FOR,AGAINST,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Rassemblement national,RN,mireille.dornano@europarl.europa.eu,mireilledornano,http://www.europarl.europa.eu/meps/en/124750/_home.html
Pascal,Durand,France,Ile-de-France,Greens/EFA,NOT PRESENT,NOT PRESENT,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Europe écologie,EELV,pascal.durand@europarl.europa.eu,PDurandOfficiel,http://www.europarl.europa.eu/meps/en/124693/_home.html
Karine,Gloanec Maurin,France,Massif Central-Centre,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,karine.gloanec-maurin@ep.europa.eu,KGloanecMaurin,http://www.europarl.europa.eu/meps/en/193080/_home.html
Sylvie,Goddyn,France,Nord-Ouest,EFDD,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,sylvie.goddyn@europarl.europa.eu,Sylvie_Goddyn,http://www.europarl.europa.eu/meps/en/21331/_home.html
Bruno,Gollnisch,France,Sud-Est,Non-attached,FOR,FOR,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,bruno.gollnisch@europarl.europa.eu,brunogollnisch,http://www.europarl.europa.eu/meps/en/1164/_home.html
Nathalie,Griesbeck,France,Est,ALDE,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,ABSTAINED,FOR,FOR,Mouvement Démocrate,MoDem,nathalie.griesbeck@europarl.europa.eu,Nat_GRIESBECK,http://www.europarl.europa.eu/meps/en/28208/_home.html
Françoise,Grossetête,France,Sud-Est,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,francoise.grossetete@europarl.europa.eu,GrosseteteF,http://www.europarl.europa.eu/meps/en/2025/_home.html
Sylvie,Guillaume,France,Sud-Est,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,sylvie.guillaume@europarl.europa.eu,sylvieguillaume,http://www.europarl.europa.eu/meps/en/96952/_home.html
Brice,Hortefeux,France,Massif Central-Centre,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,brice.hortefeux@europarl.europa.eu,BriceHortefeux,http://www.europarl.europa.eu/meps/en/5565/_home.html
Yannick,Jadot,France,Ouest,Greens/EFA,ABSTAINED,ABSTAINED,-,FOR,FOR,AGAINST,ABSTAINED,AGAINST,Europe écologie,EELV,yannick.jadot@europarl.europa.eu,yjadot,http://www.europarl.europa.eu/meps/en/96740/_home.html
Jean-François,Jalkh,France,Est,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,jean-francois.jalkh@europarl.europa.eu,jfjalkh,http://www.europarl.europa.eu/meps/en/124770/_home.html
France,Jamet,France,Sud-Ouest,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Rassemblement national,RN,france.jamet@europarl.europa.eu,francejamet,http://www.europarl.europa.eu/meps/en/189065/_home.html
Eva,Joly,France,Ile-de-France,Greens/EFA,ABSTAINED,FOR - CORRECTED,YES,FOR,FOR,AGAINST,ABSTAINED,AGAINST,Europe écologie,EELV,eva.joly@europarl.europa.eu,EvaJoly,http://www.europarl.europa.eu/meps/en/96883/_home.html
Marc,Joulaud,France,Ouest,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,marc.joulaud@europarl.europa.eu,marcjoulaud,http://www.europarl.europa.eu/meps/en/124728/_home.html
Philippe,Juvin,France,Ile-de-France,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,philippe.juvin@europarl.europa.eu,philippejuvin,http://www.europarl.europa.eu/meps/en/96884/_home.html
Patricia,Lalonde,France,Ile-de-France,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,NOT PRESENT,FOR,FOR,Union des Démocrates et Indépendants,UDI,patricia.lalonde@europarl.europa.eu,patricialalond2,http://www.europarl.europa.eu/meps/en/188254/_home.html
Alain,Lamassoure,France,Ile-de-France,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Les Républicains,LR,alain.lamassoure@europarl.europa.eu,ALamassoure,http://www.europarl.europa.eu/meps/en/1204/_home.html
Jérôme,Lavrilleux,France,Nord-Ouest,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Sans étiquette,Sans étiquette,jerome.lavrilleux@europarl.europa.eu,jlavrilleux,http://www.europarl.europa.eu/meps/en/124731/_home.html
Patrick,Le  Hyaric,France,Ile-de-France,GUE/NGL,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Front de Gauche,FDG,patrick.lehyaric@europarl.europa.eu,PatrickLeHyaric,http://www.europarl.europa.eu/meps/en/96735/_home.html
Jean-Marie,Le  Pen,France,Sud-Est,Non-attached,NOT PRESENT,NOT PRESENT,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,Rassemblement national,RN,jean-marie.lepen@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/1023/_home.html
Gilles,Lebreton,France,Ouest,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national/ Rassemblement Bleu Marine,RN,gilles.lebreton@europarl.europa.eu,Gilles_Lebreton,http://www.europarl.europa.eu/meps/en/124738/_home.html
Christelle,Lechevalier,France,Nord-Ouest,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,christelle.lechevalier@europarl.europa.eu,C_Lechevalier14,http://www.europarl.europa.eu/meps/en/188718/_home.html
Philippe,Loiseau,France,Massif Central-Centre,ENF,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Rassemblement national,RN,philippe.loiseau@europarl.europa.eu,ph_loiseau,http://www.europarl.europa.eu/meps/en/125684/_home.html
Louis-Joseph,Manscour,France,Outre-Mer,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Parti socialiste,PS,louis-joseph.manscour@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124725/_home.html
