First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage
Reimer,Böge,Germany,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Christlich Demokratische Union Deutschlands,CDU,reimer.boege@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/1037/_home.html
Elmar,Brok,Germany,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Christlich Demokratische Union Deutschlands,CDU,elmar.brok@europarl.europa.eu,ElmarBrok_MEP,http://www.europarl.europa.eu/meps/en/1263/_home.html
Klaus,Buchner,Germany,-,Greens/EFA,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Ökologisch-Demokratische Partei,ÖDP,klaus.buchner@europarl.europa.eu,Dr_KlausBuchner,http://www.europarl.europa.eu/meps/en/124818/_home.html
Udo,Bullmann,Germany,-,S&D,AGAINST,FOR,-,AGAINST,NOT PRESENT,NOT PRESENT,FOR,NOT PRESENT,Sozialdemokratische Partei Deutschlands,SPD,udo.bullmann@europarl.europa.eu,UdoBullmann,http://www.europarl.europa.eu/meps/en/4267/_home.html
Reinhard,Bütikofer,Germany,-,Greens/EFA,AGAINST,FOR,YES,AGAINST,AGAINST,FOR,FOR,AGAINST,Bündnis 90/Die Grünen,B'90/Grüne,reinhard.buetikofer@europarl.europa.eu,bueti,http://www.europarl.europa.eu/meps/en/96739/_home.html
Daniel,Caspary,Germany,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Christlich Demokratische Union Deutschlands,CDU,daniel.caspary@europarl.europa.eu,caspary,http://www.europarl.europa.eu/meps/en/28219/_home.html
Birgit,Collin-Langen,Germany,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Christlich Demokratische Union Deutschlands,CDU,birgit.collin-langen@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/112788/_home.html
Michael,Cramer,Germany,-,Greens/EFA,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Bündnis 90/Die Grünen,B'90/Grüne,michael.cramer@europarl.europa.eu,MepMCramer,http://www.europarl.europa.eu/meps/en/28238/_home.html
Albert,Dess,Germany,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Christlich-Soziale Union in Bayern e.V.,CSU,albert.dess@europarl.europa.eu,albert_dess,http://www.europarl.europa.eu/meps/en/28228/_home.html
Michael,Detjen,Germany,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Deutschlands,SPD,michael.detjen@ep.europa.eu,MichaelDetjen,http://www.europarl.europa.eu/meps/en/190799/_home.html
Stefan,Eck,Germany,-,GUE/NGL,AGAINST,FOR,YES,FOR,AGAINST,AGAINST,AGAINST,AGAINST,Independent,Independent,stefan.eck@europarl.europa.eu,Stefan_Eck_MEP,http://www.europarl.europa.eu/meps/en/124863/_home.html
Christian,Ehler,Germany,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Christlich Demokratische Union Deutschlands,CDU,christian.ehler@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/28226/_home.html
