First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage
Nikos,Androulakis,Greece,-,S&D,NOT PRESENT,ABSTAINED,-,AGAINST,AGAINST,FOR,FOR,FOR,Panhellenic Socialist Movement - Olive Tree,ΠΑΣΟΚ/PASOK,nikos.androulakis@europarl.europa.eu,androulakisnick,http://www.europarl.europa.eu/meps/en/125110/_home.html
Nikolaos,Chountis,Greece,-,GUE/NGL,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Popular Unity,ΛΑΕ/LAE,nikolaos.chountis@europarl.europa.eu,NikosChountis,http://www.europarl.europa.eu/meps/en/26851/_home.html
Kostas,Chrysogonos,Greece,-,GUE/NGL,FOR,FOR,-,ABSTAINED,NOT PRESENT,ABSTAINED,ABSTAINED,FOR,Coalition of the Radical Left,ΣΥΡΙΖΑ/SYRIZA,kostas.chrysogonos@europarl.europa.eu,Chrysogonos_K,http://www.europarl.europa.eu/meps/en/125061/_home.html
Georgios,Epitideios,Greece,-,Non-attached,AGAINST - CORRECTED,AGAINST - CORRECTED,-,FOR,AGAINST,AGAINST,AGAINST,AGAINST,Popular Association – Golden Dawn,Golden Dawn,georgios.epitideios@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/125071/_home.html
Lampros,Fountoulis,Greece,-,Non-attached,FOR,FOR,-,FOR,AGAINST,AGAINST,AGAINST,AGAINST,Popular Association – Golden Dawn,Golden Dawn,lampros.fountoulis@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/125070/_home.html
Giorgos,Grammatikakis,Greece,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,The River,The River,giorgos.grammatikakis@europarl.europa.eu,GrammatikakisG,http://www.europarl.europa.eu/meps/en/125112/_home.html
Eva,Kaili,Greece,-,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,ABSTAINED,ABSTAINED,FOR,NOT PRESENT,Panhellenic Socialist Movement - Olive Tree,ΠΑΣΟΚ/PASOK,eva.kaili@europarl.europa.eu,EvaKaili,http://www.europarl.europa.eu/meps/en/125109/_home.html
Manolis,Kefalogiannis,Greece,-,EPP,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Nea Demokratia,ΝΔ/ND,manolis.kefalogiannis@europarl.europa.eu,M_Kefalogiannis,http://www.europarl.europa.eu/meps/en/125068/_home.html
Stelios,Kouloglou,Greece,-,GUE/NGL,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,AGAINST,FOR,AGAINST,Coalition of the Radical Left,ΣΥΡΙΖΑ/SYRIZA,stelios.kouloglou@europarl.europa.eu,SteliosKoul,http://www.europarl.europa.eu/meps/en/130833/_home.html
Kostadinka,Kuneva,Greece,-,GUE/NGL,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,AGAINST,FOR,AGAINST,Coalition of the Radical Left,ΣΥΡΙΖΑ/SYRIZA,kostadinka.kuneva@europarl.europa.eu,kkuneva,http://www.europarl.europa.eu/meps/en/125092/_home.html
Miltiadis,Kyrkos,Greece,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,The River,The River,miltiadis.kyrkos@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/125113/_home.html
Georgios,Kyrtsos,Greece,-,EPP,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Nea Demokratia,ΝΔ/ND,georgios.kyrtsos@europarl.europa.eu,GiorgosKyrtsos,http://www.europarl.europa.eu/meps/en/125063/_home.html
Notis,Marias,Greece,-,ECR,NOT PRESENT,NOT PRESENT,-,NOT PRESENT,ABSTAINED,ABSTAINED,ABSTAINED,FOR,Greece-The Alternative Road,Greece-The Alternative Road,notis.marias@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/125069/_home.html
Konstantinos,Papadakis,Greece,-,Non-attached,ABSTAINED,FOR,-,ABSTAINED,ABSTAINED,AGAINST,ABSTAINED,AGAINST,Communist Party of Greece,KKE,konstantinos.papadakis@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/125093/_home.html
Dimitrios,Papadimoulis,Greece,-,GUE/NGL,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,AGAINST,FOR,AGAINST,Coalition of the Radical Left,ΣΥΡΙΖΑ/SYRIZA,dimitrios.papadimoulis@europarl.europa.eu,papadimoulis,http://www.europarl.europa.eu/meps/en/28586/_home.html
Sofia,Sakorafa,Greece,-,GUE/NGL,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Independent,Independent,sofia.sakorafa@europarl.europa.eu,SofiaSakorafa,http://www.europarl.europa.eu/meps/en/125091/_home.html
Maria,Spyraki,Greece,-,EPP,FOR,FOR,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Nea Demokratia,ΝΔ/ND,maria.spyraki@europarl.europa.eu,MariaSpyraki,http://www.europarl.europa.eu/meps/en/125064/_home.html
Eleftherios,Synadinos,Greece,-,Non-attached,FOR,FOR,-,FOR,AGAINST,AGAINST,AGAINST,NOT PRESENT,Popular Association – Golden Dawn,Golden Dawn,eleftherios.synadinos@europarl.europa.eu,Synadinos_Eleft,http://www.europarl.europa.eu/meps/en/125072/_home.html
Elissavet,Vozemberg-Vrionidi,Greece,-,EPP,NOT PRESENT,NOT PRESENT,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,FOR,Nea Demokratia,ΝΔ/ND,elissavet.vozemberg@europarl.europa.eu,vozemberg,http://www.europarl.europa.eu/meps/en/125065/_home.html
Theodoros,Zagorakis,Greece,-,EPP,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Nea Demokratia,ΝΔ/ND,theodoros.zagorakis@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/125067/_home.html
Sotirios,Zarianopoulos,Greece,-,Non-attached,NOT PRESENT,NOT PRESENT,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,AGAINST,Communist Party of Greece,KKE,sotirios.zarianopoulos@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/125090/_home.html
