First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage
Zoltán,Balczó,Hungary,-,Non-attached,AGAINST,FOR,-,FOR,AGAINST,ABSTAINED,AGAINST,AGAINST,Jobbik Magyarországért Mozgalom,Jobbik ,zoltan.balczo@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/96877/_home.html
Andrea,Bocskor,Hungary,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Fidesz ,andrea.bocskor@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124712/_home.html
Andor,Deli,Hungary,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Fidesz ,andor.deli@europarl.europa.eu,andordeli,http://www.europarl.europa.eu/meps/en/124714/_home.html
Tamás,Deutsch,Hungary,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Fidesz ,tamas.deutsch@europarl.europa.eu,dajcstomi,http://www.europarl.europa.eu/meps/en/96826/_home.html
Norbert,Erdős,Hungary,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Fidesz ,norbert.erdos@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124711/_home.html
Kinga,Gál,Hungary,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Fidesz ,kinga.gal@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/28150/_home.html
András,Gyürk,Hungary,-,EPP,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Fidesz ,andras.gyurk@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/23816/_home.html
György,Hölvényi,Hungary,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Kereszténydemokrata Néppárt 335,KDNP,gyorgy.holvenyi@europarl.europa.eu,HolvenyiGyorgy,http://www.europarl.europa.eu/meps/en/124715/_home.html
Lívia,Járóka,Hungary,-,EPP,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Fidesz ,livia.jaroka@ep.europa.eu,JarokaLivia,http://www.europarl.europa.eu/meps/en/28141/_home.html
Benedek,Jávor,Hungary,-,Greens/EFA,NOT PRESENT,NOT PRESENT,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Együtt 2014 - Párbeszéd Magyarországért,Együtt 2014 - PM,benedek.javor@europarl.europa.eu,javorbenedek,http://www.europarl.europa.eu/meps/en/124721/_home.html
Ádám,Kósa,Hungary,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Fidesz ,adam.kosa@europarl.europa.eu,adamkosamep,http://www.europarl.europa.eu/meps/en/96829/_home.html
Béla,Kovács,Hungary,-,Non-attached,NOT PRESENT,NOT PRESENT,-,FOR,AGAINST,ABSTAINED,AGAINST,AGAINST,Jobbik Magyarországért Mozgalom,Jobbik ,bela.kovacs@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/102887/_home.html
Tamás,Meszerics,Hungary,-,Greens/EFA,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Lehet Más A Politika,LMP,tamas.meszerics@europarl.europa.eu,MeszericsT,http://www.europarl.europa.eu/meps/en/124720/_home.html
Csaba,Molnár,Hungary,-,S&D,AGAINST - CORRECTED,AGAINST,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Demokratikus Koalíció,DK,csaba.molnar@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124722/_home.html
Krisztina,Morvai,Hungary,-,Non-attached,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,ABSTAINED,ABSTAINED,NOT PRESENT,Jobbik Magyarországért Mozgalom,Jobbik ,krisztina.morvai@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/96661/_home.html
Péter,Niedermüller,Hungary,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Demokratikus Koalíció,DK,peter.niedermueller@europarl.europa.eu,niedermullermep,http://www.europarl.europa.eu/meps/en/124723/_home.html
György,Schöpflin,Hungary,-,EPP,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Fidesz ,gyorgy.schopflin@europarl.europa.eu,schopflinMEP,http://www.europarl.europa.eu/meps/en/28135/_home.html
