First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage
Isabella,Adinolfi,Italy,Meridionale,EFDD,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Movimento 5 Stelle,M5S,isabella.adinolfi@europarl.europa.eu,Isa_Adinolfi,http://www.europarl.europa.eu/meps/en/124831/_home.html
Marco,Affronte,Italy,Nord-Orientale,Greens/EFA,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Independent,Independent,marco.affronte@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124797/_home.html
Laura,Agea,Italy,Centrale,EFDD,AGAINST,FOR,-,FOR,FOR,AGAINST,NOT PRESENT,NOT PRESENT,Movimento 5 Stelle,M5S,laura.agea@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124811/_home.html
Daniela,Aiuto,Italy,Meridionale,EFDD,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Movimento 5 Stelle,M5S,daniela.aiuto@europarl.europa.eu,DanielaAiuto,http://www.europarl.europa.eu/meps/en/124842/_home.html
Tiziana,Beghin,Italy,Nord-Occidentale,EFDD,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Movimento 5 Stelle,M5S,tiziana.beghin@europarl.europa.eu,beghin_t,http://www.europarl.europa.eu/meps/en/124777/_home.html
Brando,Benifei,Italy,Nord-Occidentale,S&D,AGAINST,FOR,YES,AGAINST,ABSTAINED,AGAINST,ABSTAINED,AGAINST,Partito Democratico,PD,brando.benifei@europarl.europa.eu,brandobenifei,http://www.europarl.europa.eu/meps/en/124867/_home.html
Goffredo Maria,Bettini,Italy,Centrale,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,ABSTAINED,Partito Democratico,PD,goffredo.bettini@europarl.europa.eu,GoffredoBettini,http://www.europarl.europa.eu/meps/en/124819/_home.html
Mara,Bizzotto,Italy,Nord-Orientale,ENF,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Lega Nord,LN,mara.bizzotto@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/97198/_home.html
Simona,Bonafè,Italy,Centrale,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partito Democratico,PD,simona.bonafe@europarl.europa.eu,simonabonafe,http://www.europarl.europa.eu/meps/en/124814/_home.html
Mario,Borghezio,Italy,Centrale,ENF,AGAINST,FOR,-,FOR,FOR,NOT PRESENT,NOT PRESENT,AGAINST,Lega Nord,LN,mario.borghezio@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/21817/_home.html
David,Borrelli,Italy,Nord-Orientale,Non-attached,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Movimento 5 Stelle,M5S,david.borrelli@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124796/_home.html
Mercedes,Bresso,Italy,Nord-Occidentale,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partito Democratico,PD,mercedes.bresso@europarl.europa.eu,mercedesbresso,http://www.europarl.europa.eu/meps/en/28346/_home.html
Renata,Briano,Italy,Nord-Occidentale,S&D,AGAINST,FOR,YES,AGAINST,ABSTAINED,AGAINST,ABSTAINED,AGAINST,Partito Democratico,PD,renata.briano@europarl.europa.eu,renatabriano,http://www.europarl.europa.eu/meps/en/124787/_home.html
Nicola,Caputo,Italy,Meridionale,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Partito Democratico,PD,nicola.caputo@europarl.europa.eu,NicolaCaputo,http://www.europarl.europa.eu/meps/en/124851/_home.html
Fabio Massimo,Castaldo,Italy,Centrale,EFDD,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,Movimento 5 Stelle,M5S,fabiomassimo.castaldo@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124812/_home.html
Lorenzo,Cesa,Italy,Meridionale,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Unione di Centro,UdC,lorenzo.cesa@europarl.europa.eu,L_Cesa,http://www.europarl.europa.eu/meps/en/28451/_home.html
Caterina,Chinnici,Italy,Insulare,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Partito Democratico,PD,caterina.chinnici@europarl.europa.eu,CaterinaChinnic,http://www.europarl.europa.eu/meps/en/124861/_home.html
Salvatore,Cicu,Italy,Insulare,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Forza Italia,FI,salvatore.cicu@europarl.europa.eu,SalvoCicu,http://www.europarl.europa.eu/meps/en/124854/_home.html
Angelo,Ciocca,Italy,Nord-Occidentale,ENF,AGAINST,FOR,-,FOR,FOR,NOT PRESENT,NOT PRESENT,AGAINST,Lega Nord,LN,angelo.ciocca@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/183793/_home.html
Alberto,Cirio,Italy,Nord-Occidentale,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Forza Italia,FI,alberto.cirio@europarl.europa.eu,Alberto_Cirio,http://www.europarl.europa.eu/meps/en/124772/_home.html
Sergio Gaetano,Cofferati,Italy,Nord-Occidentale,S&D,AGAINST,FOR,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,AGAINST,Sinistra Italiana,SI,sergio.cofferati@europarl.europa.eu,Cofferati,http://www.europarl.europa.eu/meps/en/96915/_home.html
Lara,Comi,Italy,Nord-Occidentale,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Forza Italia,FI,lara.comi@europarl.europa.eu,comilara,http://www.europarl.europa.eu/meps/en/96775/_home.html
Ignazio,Corrao,Italy,Insulare,EFDD,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Movimento 5 Stelle,M5S,ignazio.corrao@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124856/_home.html
Silvia,Costa,Italy,Centrale,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partito Democratico,PD,silvia.costa@europarl.europa.eu,SilviaCostaEU,http://www.europarl.europa.eu/meps/en/96917/_home.html
Andrea,Cozzolino,Italy,Meridionale,S&D,FOR,FOR,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,AGAINST,Partito Democratico,PD,andrea.cozzolino@europarl.europa.eu,cozzolino62,http://www.europarl.europa.eu/meps/en/96880/_home.html
Rosa,d'Amato,Italy,Meridionale,EFDD,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Movimento 5 Stelle,M5S,rosa.damato@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124835/_home.html
Nicola,Danti,Italy,Centrale,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partito Democratico,PD,nicola.danti@europarl.europa.eu,DantiNicola,http://www.europarl.europa.eu/meps/en/124821/_home.html
Paolo,De Castro,Italy,Nord-Orientale,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partito Democratico,PD,paolo.decastro@europarl.europa.eu,paolodecastro,http://www.europarl.europa.eu/meps/en/96891/_home.html
Isabella,De Monte,Italy,Nord-Orientale,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partito Democratico,PD,isabella.demonte@europarl.europa.eu,IsabellaDeMonte,http://www.europarl.europa.eu/meps/en/124803/_home.html
Herbert,Dorfmann,Italy,Nord-Orientale,EPP,FOR,FOR,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Südtiroler Volkspartei,SVP,herbert.dorfmann@europarl.europa.eu,HerbertDorfmann,http://www.europarl.europa.eu/meps/en/96787/_home.html
Eleonora,Evi,Italy,Nord-Occidentale,EFDD,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Movimento 5 Stelle,M5S,eleonora.evi@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124779/_home.html
Giuseppe,Ferrandino,Italy,Meridionale,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partito Democratico,PD,giuseppe.ferrandino@ep.europa.eu,,http://www.europarl.europa.eu/meps/en/192634/_home.html
