First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage
Bas,Belder,Netherlands,-,ECR,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Staatkundig Gereformeerde Partij,SGP,bastiaan.belder@europarl.europa.eu,BasBelderMEP,http://www.europarl.europa.eu/meps/en/4507/_home.html
Marcel,de Graaff,Netherlands,-,ENF,NOT PRESENT,NOT PRESENT,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Partij voor de Vrijheid,PVV,marcel.degraaff@europarl.europa.eu,MJRLdeGraaff,http://www.europarl.europa.eu/meps/en/125025/_home.html
Dennis,de Jong,Netherlands,-,GUE/NGL,ABSTAINED,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Socialistische Partij,SP,dennis.dejong@europarl.europa.eu,DdJong,http://www.europarl.europa.eu/meps/en/96748/_home.html
Esther,de Lange,Netherlands,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Christen Democratisch Appèl,CDA,esther.delange@europarl.europa.eu,Esther_de_Lange,http://www.europarl.europa.eu/meps/en/38398/_home.html
Bas,Eickhout,Netherlands,-,Greens/EFA,AGAINST,FOR,YES,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,AGAINST,GroenLinks,GL,bas.eickhout@europarl.europa.eu,BasEickhout,http://www.europarl.europa.eu/meps/en/96725/_home.html
André,Elissen,Netherlands,-,ENF,AGAINST,ABSTAINED,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Partij voor de Vrijheid,PVV,andre.elissen@europarl.europa.eu,AndreElissen,http://www.europarl.europa.eu/meps/en/188445/_home.html
Gerben-Jan,Gerbrandy,Netherlands,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,NOT PRESENT,Democraten 66,D66,gerben-jan.gerbrandy@europarl.europa.eu,Gerbrandy,http://www.europarl.europa.eu/meps/en/96940/_home.html
Anja,Hazekamp,Netherlands,-,GUE/NGL,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Partij voor de Dieren,PvdD,anja.hazekamp@europarl.europa.eu,anjahazekamp,http://www.europarl.europa.eu/meps/en/125023/_home.html
Jan,Huitema,Netherlands,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Volkspartij voor Vrijheid en Democratie,VVD,jan.huitema@europarl.europa.eu,jhuitema,http://www.europarl.europa.eu/meps/en/58789/_home.html
Sophie,in 't Veld,Netherlands,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Democraten 66,D66,sophie.intveld@europarl.europa.eu,SophieintVeld,http://www.europarl.europa.eu/meps/en/28266/_home.html
Agnes,Jongerius,Netherlands,-,S&D,AGAINST,FOR,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,AGAINST,Partij van de Arbeid,PvdA ,agnes.jongerius@europarl.europa.eu,a_jongerius,http://www.europarl.europa.eu/meps/en/125021/_home.html
Jeroen,Lenaers,Netherlands,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Christen Democratisch Appèl,CDA,jeroen.lenaers@europarl.europa.eu,jeroen_lenaers,http://www.europarl.europa.eu/meps/en/95074/_home.html
Anne-Marie,Mineur,Netherlands,-,GUE/NGL,ABSTAINED,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Socialistische Partij,SP,anne-marie.mineur@europarl.europa.eu,AnneMarieMineur,http://www.europarl.europa.eu/meps/en/125037/_home.html
Caroline,Nagtegaal,Netherlands,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Volkspartij voor Vrijheid en Democratie,VVD,caroline.nagtegaal@ep.europa.eu,C_Nagtegaal,http://www.europarl.europa.eu/meps/en/190519/_home.html
Kati,Piri,Netherlands,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Partij van de Arbeid,PvdA ,kati.piri@europarl.europa.eu,KatiPiri,http://www.europarl.europa.eu/meps/en/37229/_home.html
Judith,Sargentini,Netherlands,-,Greens/EFA,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,GroenLinks,GL,judith.sargentini@europarl.europa.eu,judithineuropa,http://www.europarl.europa.eu/meps/en/96815/_home.html
Marietje,Schaake,Netherlands,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Democraten 66,D66,marietje.schaake@europarl.europa.eu,MarietjeSchaake,http://www.europarl.europa.eu/meps/en/96945/_home.html
