First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage
Michał,Boni,Poland,-,EPP,AGAINST,FOR,YES,AGAINST,FOR,ABSTAINED,FOR,AGAINST,Platforma Obywatelska,PO,michal.boni@europarl.europa.eu,MichalBoni,http://www.europarl.europa.eu/meps/en/124896/_home.html
Jerzy,Buzek,Poland,-,EPP,NOT PRESENT,NOT PRESENT,-,AGAINST,ABSTAINED,FOR,FOR,NOT PRESENT,Platforma Obywatelska,PO,jerzy.buzek@europarl.europa.eu,JerzyBuzek,http://www.europarl.europa.eu/meps/en/28269/_home.html
Ryszard,Czarnecki,Poland,-,ECR,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Prawo i Sprawiedliwość,PiS,ryszard.czarnecki@europarl.europa.eu,r_czarnecki,http://www.europarl.europa.eu/meps/en/28372/_home.html
Edward,Czesak,Poland,-,ECR,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Prawo i Sprawiedliwość,PiS,edward.czesak@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/132925/_home.html
Anna Elżbieta,Fotyga,Poland,-,ECR,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Prawo i Sprawiedliwość,PiS,anna.fotyga@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/28353/_home.html
Lidia Joanna,Geringer de Oedenberg,Poland,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Independent,Independent,lidiajoanna.geringerdeoedenberg@europarl.europa.eu,lidiageringer,http://www.europarl.europa.eu/meps/en/28377/_home.html
Adam,Gierek,Poland,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Unia Pracy,UP,adam.gierek@europarl.europa.eu,adamgierek,http://www.europarl.europa.eu/meps/en/28379/_home.html
Beata,Gosiewska,Poland,-,ECR,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Prawo i Sprawiedliwość,PiS,beata.gosiewska@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124900/_home.html
Andrzej,Grzyb,Poland,-,EPP,AGAINST,FOR,-,AGAINST,AGAINST,FOR,AGAINST,AGAINST,Polskie Stronnictwo Ludowe,PSL,andrzej.grzyb@europarl.europa.eu,GrzybAndrzej,http://www.europarl.europa.eu/meps/en/23785/_home.html
Krzysztof,Hetman,Poland,-,EPP,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Polskie Stronnictwo Ludowe,PSL,krzysztof.hetman@europarl.europa.eu,hetman_k,http://www.europarl.europa.eu/meps/en/124895/_home.html
Czesław,Hoc,Poland,-,ECR,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Prawo i Sprawiedliwość,PiS,czeslaw.hoc@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/135540/_home.html
Danuta Maria,Hübner,Poland,-,EPP,FOR,FOR,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Platforma Obywatelska,PO,danuta.huebner@europarl.europa.eu,danutahuebner,http://www.europarl.europa.eu/meps/en/96779/_home.html
