First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage
Francisco,Assis,Portugal,-,S&D,AGAINST - CORRECTED,FOR,-,ABSTAINED,FOR,AGAINST,AGAINST,AGAINST,Partido Socialista,PS,francisco.assis@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/28307/_home.html
Carlos,Coelho,Portugal,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partido Social Democrata,PSD,carlos.coelho@europarl.europa.eu,CarlosCoelhoPE,http://www.europarl.europa.eu/meps/en/1892/_home.html
Manuel,dos Santos,Portugal,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,ABSTAINED,Partido Socialista,PS,manuel.dossantos@europarl.europa.eu,Manuel___Santos,http://www.europarl.europa.eu/meps/en/21918/_home.html
José Inácio,Faria,Portugal,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partido da Terra,PT,joseinacio.faria@europarl.europa.eu,JoseFariaMEP,http://www.europarl.europa.eu/meps/en/125101/_home.html
José Manuel,Fernandes,Portugal,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partido Social Democrata,PSD,josemanuel.fernandes@europarl.europa.eu,JMFernandesEU,http://www.europarl.europa.eu/meps/en/96899/_home.html
João,Ferreira,Portugal,-,GUE/NGL,AGAINST,FOR,-,NOT PRESENT,ABSTAINED,ABSTAINED,AGAINST,AGAINST,Partido Comunista Português,PCP,joao.ferreira@europarl.europa.eu,joao_ferreira33,http://www.europarl.europa.eu/meps/en/96706/_home.html
Ana,Gomes,Portugal,-,S&D,AGAINST,FOR,-,AGAINST,AGAINST,AGAINST,FOR,AGAINST,Partido Socialista,PS,anamaria.gomes@europarl.europa.eu,AnaGomesMEP,http://www.europarl.europa.eu/meps/en/28306/_home.html
António,Marinho e Pinto,Portugal,-,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partido Democrático Republicano,PDR,antonio.marinhoepinto@europarl.europa.eu,marinhopintoeu,http://www.europarl.europa.eu/meps/en/124742/_home.html
Marisa,Matias,Portugal,-,GUE/NGL,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Bloco de Esquerda,BE,marisa.matias@europarl.europa.eu,mmatias_,http://www.europarl.europa.eu/meps/en/96820/_home.html
Nuno,Melo,Portugal,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Partido Popular,PP,nuno.melo@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/96978/_home.html
Cláudia,Monteiro De Aguiar,Portugal,-,EPP,FOR,AGAINST,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,Partido Social Democrata,PSD,claudia.monteirodeaguiar@europarl.europa.eu,cmonteiroaguiar,http://www.europarl.europa.eu/meps/en/124734/_home.html
João,Pimenta Lopes,Portugal,-,GUE/NGL,AGAINST,FOR,-,NOT PRESENT,ABSTAINED,ABSTAINED,AGAINST,AGAINST,Partido Comunista Português,PCP,joao.pimentalopes@europarl.europa.eu,JPimentaLopes,http://www.europarl.europa.eu/meps/en/136236/_home.html
Paulo,Rangel,Portugal,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partido Social Democrata,PSD,paulo.rangel@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/96903/_home.html
Sofia,Ribeiro,Portugal,-,EPP,FOR,AGAINST,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,FOR,Partido Social Democrata,PSD,sofia.ribeiro@europarl.europa.eu,SofiaHRibeiro,http://www.europarl.europa.eu/meps/en/124733/_home.html
Liliana,Rodrigues,Portugal,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,AGAINST,FOR,FOR,Partido Socialista,PS,liliana.rodrigues@europarl.europa.eu,lilianamep,http://www.europarl.europa.eu/meps/en/125099/_home.html
Maria João,Rodrigues,Portugal,-,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Partido Socialista,PS,mariajoao.rodrigues@europarl.europa.eu,mjr_eu,http://www.europarl.europa.eu/meps/en/124737/_home.html
Fernando,Ruas,Portugal,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partido Social Democrata,PSD,fernando.ruas@europarl.europa.eu,FernandoRuasPE,http://www.europarl.europa.eu/meps/en/124730/_home.html
Ricardo,Serrão Santos,Portugal,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partido Socialista,PS,ricardo.serraosantos@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124741/_home.html
Pedro,Silva Pereira,Portugal,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partido Socialista,PS,pedro.silvapereira@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124747/_home.html
Miguel,Viegas,Portugal,-,GUE/NGL,AGAINST,FOR,-,NOT PRESENT,ABSTAINED,ABSTAINED,AGAINST,AGAINST,Partido Comunista Português,PCP,miguel.viegas@europarl.europa.eu,MiguelViegasPCP,http://www.europarl.europa.eu/meps/en/125100/_home.html
Carlos,Zorrinho,Portugal,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partido Socialista,PS,carlos.zorrinho@europarl.europa.eu,czorrinho,http://www.europarl.europa.eu/meps/en/124739/_home.html
