First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage
Victor,Boştinaru,Romania,-,S&D,FOR,AGAINST,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,FOR,Partidul Social Democrat,PSD,victor.bostinaru@ep.europa.eu,victorbostinaru,http://www.europarl.europa.eu/meps/en/39711/_home.html
Daniel,Buda,Romania,-,EPP,ABSTAINED,ABSTAINED - CORRECTED,-,AGAINST,AGAINST,FOR,FOR,FOR,Partidul Național Liberal ,PNL,daniel.buda@europarl.europa.eu,MEPDanielBuda,http://www.europarl.europa.eu/meps/en/125012/_home.html
Cristian-Silviu,Buşoi,Romania,-,EPP,ABSTAINED,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partidul Naţional Liberal,PNL,cristiansilviu.busoi@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/38420/_home.html
Andi,Cristea,Romania,-,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Partidul Social Democrat,PSD,andi.cristea@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/40224/_home.html
Mircea,Diaconu,Romania,-,ALDE,FOR,ABSTAINED,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,Independent,Independent,mircea.diaconu@europarl.europa.eu,m_diaconumep,http://www.europarl.europa.eu/meps/en/124805/_home.html
Damian,Drăghici,Romania,-,S&D,FOR,AGAINST,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,Independent,Independent,damian.draghici@europarl.europa.eu,damiandraghici1,http://www.europarl.europa.eu/meps/en/124786/_home.html
Doru-Claudian,Frunzulică,Romania,-,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,ABSTAINED,Partidul Social Democrat,PSD,doru.frunzulica@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124790/_home.html
Maria,Grapini,Romania,-,S&D,AGAINST - CORRECTED,FOR,-,AGAINST,AGAINST,FOR,FOR,FOR,Partidul Puterii Umaniste,PPU,maria.grapini@europarl.europa.eu,mariagrapini,http://www.europarl.europa.eu/meps/en/124785/_home.html
Cătălin Sorin,Ivan,Romania,-,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,AGAINST,FOR,NOT PRESENT,Partidul Social Democrat,PSD,catalin-sorin.ivan@europarl.europa.eu,Catalin_Ivan,http://www.europarl.europa.eu/meps/en/96857/_home.html
Monica,Macovei,Romania,-,ECR,AGAINST,FOR,-,NOT PRESENT,FOR,AGAINST,AGAINST,ABSTAINED,Independent,Independent,monica.macovei@europarl.europa.eu,MonicaMacovei1,http://www.europarl.europa.eu/meps/en/96824/_home.html
