First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage
Clara Eugenia,Aguilera García,Spain,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partido Socialista Obrero Español,PSOE,claraeugenia.aguileragarcia@europarl.europa.eu,ClaraAguilera7,http://www.europarl.europa.eu/meps/en/125045/_home.html
Marina,Albiol  Guzmán,Spain,-,GUE/NGL,AGAINST,FOR,-,ABSTAINED,FOR,AGAINST,AGAINST,NOT PRESENT,Izquierda Unida,IU,marina.albiol@europarl.europa.eu,MarinaAlbiol,http://www.europarl.europa.eu/meps/en/125048/_home.html
Inés,Ayala Sender,Spain,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partido Socialista Obrero Español,PSOE,ines.ayalasender@europarl.europa.eu,IAyalaSender,http://www.europarl.europa.eu/meps/en/28292/_home.html
Pilar,Ayuso,Spain,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Partido Popular,PP,pilar.ayuso@europarl.europa.eu,ayuso_pilar,http://www.europarl.europa.eu/meps/en/4319/_home.html
Beatriz,Becerra Basterrechea,Spain,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Independiente,Independiente,beatriz.becerra@europarl.europa.eu,beatrizbecerrab,http://www.europarl.europa.eu/meps/en/125040/_home.html
Xabier,Benito Ziluaga,Spain,-,GUE/NGL,AGAINST,FOR,-,ABSTAINED,FOR,AGAINST,AGAINST,AGAINST,PODEMOS,PODEMOS,xabier.benitoziluaga@europarl.europa.eu,xabierbenito,http://www.europarl.europa.eu/meps/en/135490/_home.html
Izaskun,Bilbao Barandica,Spain,-,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,AGAINST,FOR,AGAINST,Partido Nacionalista Vasco,EAJ-PNV,izaskun.bilbaobarandica@europarl.europa.eu,IzaskunBilbaoB,http://www.europarl.europa.eu/meps/en/96922/_home.html
José,Blanco López,Spain,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partido Socialista Obrero Español,PSOE,jose.blancolopez@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/125044/_home.html
Soledad,Cabezón Ruiz,Spain,-,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Partido Socialista Obrero Español,PSOE,soledad.cabezonruiz@europarl.europa.eu,SoledadCabezon,http://www.europarl.europa.eu/meps/en/125041/_home.html
Enrique,Calvet Chambon,Spain,-,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,ABSTAINED,FOR,FOR,Independiente,Independiente,enrique.calvetchambon@europarl.europa.eu,enriquecalvet,http://www.europarl.europa.eu/meps/en/129407/_home.html
Javier,Couso Permuy,Spain,-,GUE/NGL,AGAINST,FOR,-,ABSTAINED,FOR,AGAINST,AGAINST,AGAINST,Izquierda Unida,IU,javier.cousopermuy@europarl.europa.eu,Caninator,http://www.europarl.europa.eu/meps/en/125997/_home.html
Luis,de Grandes Pascual,Spain,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Partido Popular,PP,luis.degrandespascual@europarl.europa.eu,ppegrupo,http://www.europarl.europa.eu/meps/en/28393/_home.html
Pilar,del Castillo Vera,Spain,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Partido Popular,PP,pilar.delcastillo@europarl.europa.eu,delcastillop,http://www.europarl.europa.eu/meps/en/28390/_home.html
