First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage
Max,Andersson,Sweden,-,Greens/EFA,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Miljöpartiet de gröna,MP,max.andersson@europarl.europa.eu,MaxAndersson,http://www.europarl.europa.eu/meps/en/124994/_home.html
Malin,Björk,Sweden,-,GUE/NGL,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Vänsterpartiet,V,malin.bjork@europarl.europa.eu,MalinBjork_EU,http://www.europarl.europa.eu/meps/en/124992/_home.html
Anna Maria,Corazza Bildt,Sweden,-,EPP,NOT PRESENT,NOT PRESENT,-,AGAINST,FOR,AGAINST,AGAINST,NOT PRESENT,Moderaterna,M,annamaria.corazzabildt@europarl.europa.eu,AnnaMariaCB,http://www.europarl.europa.eu/meps/en/96674/_home.html
Jakop,Dalunde,Sweden,-,Greens/EFA,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Miljöpartiet de gröna,MP,jakop.dalunde@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/183338/_home.html
Linnéa,Engström,Sweden,-,Greens/EFA,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,Miljöpartiet de gröna,MP,linnea.engstrom@europarl.europa.eu,LinneaEngstrom,http://www.europarl.europa.eu/meps/en/128588/_home.html
Fredrick,Federley,Sweden,-,ALDE,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Centerpartiet,C,fredrick.federley@europarl.europa.eu,federley,http://www.europarl.europa.eu/meps/en/124989/_home.html
Christofer,Fjellner,Sweden,-,EPP,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,AGAINST,AGAINST,Moderaterna,M,christofer.fjellner@europarl.europa.eu,Fjellner,http://www.europarl.europa.eu/meps/en/28126/_home.html
Aleksander,Gabelic,Sweden,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Arbetarepartiet- Socialdemokraterna,SAP,aleksander.gabelic@ep.europa.eu,Agabelic,http://www.europarl.europa.eu/meps/en/192465/_home.html
Jytte,Guteland,Sweden,-,S&D,FOR,AGAINST,-,AGAINST,FOR,AGAINST,FOR,AGAINST,Arbetarepartiet- Socialdemokraterna,SAP,jytte.guteland@europarl.europa.eu,JytteGuteland,http://www.europarl.europa.eu/meps/en/124991/_home.html
Anna,Hedh,Sweden,-,S&D,AGAINST,FOR,-,AGAINST,FOR,AGAINST,FOR,NOT PRESENT,Arbetarepartiet- Socialdemokraterna,SAP,anna.hedh@europarl.europa.eu,AnnaHedh,http://www.europarl.europa.eu/meps/en/28131/_home.html
