First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage
William,(The Earl Of) Dartmouth,UK,South West Region,EFDD,AGAINST,FOR,-,FOR,ABSTAINED,ABSTAINED,ABSTAINED,AGAINST,United Kingdom Independence Party,UKIP,william.dartmouth@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/96958/_home.html
John Stuart,Agnew,UK,Eastern Region,ENF,AGAINST,FOR,-,FOR,FOR,FOR,AGAINST,AGAINST,United Kingdom Independence Party,UKIP,johnstuart.agnew@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/96897/_home.html
Tim,Aker,UK,Eastern Region,EFDD,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,United Kingdom Independence Party,UKIP,tim.aker@europarl.europa.eu,Tim_Aker,http://www.europarl.europa.eu/meps/en/99650/_home.html
Lucy,Anderson,UK,London,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Labour Party,SF,lucy.anderson@europarl.europa.eu,LucyAndersonMEP,http://www.europarl.europa.eu/meps/en/124949/_home.html
Martina,Anderson,UK,Northern Ireland,GUE/NGL,AGAINST,FOR,-,ABSTAINED,FOR,FOR,AGAINST,AGAINST,Sinn Fein,LAB,martina.anderson@europarl.europa.eu,MEPStandingUp4U,http://www.europarl.europa.eu/meps/en/113959/_home.html
Jonathan,Arnott,UK,North East,EFDD,AGAINST,FOR,-,FOR,FOR,ABSTAINED,AGAINST,AGAINST,United Kingdom Independence Party,UKIP,jonathan.arnott@europarl.europa.eu,JonathanArnott,http://www.europarl.europa.eu/meps/en/124958/_home.html
Richard,Ashworth,UK,South East,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Conservative Party,CP,richard.ashworth@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/28132/_home.html
Janice,Atkinson,UK,South East,ENF,NOT PRESENT,NOT PRESENT,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,Independent,Independent,janice.atkinson@europarl.europa.eu,JaniceUKIP,http://www.europarl.europa.eu/meps/en/124938/_home.html
Amjad,Bashir,UK,Yorkshire and the Humber,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Conservative Party,CP,amjad.bashir@europarl.europa.eu,AmjadBashirMEP,http://www.europarl.europa.eu/meps/en/124956/_home.html
Gerard,Batten,UK,London,ENF,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,United Kingdom Independence Party,UKIP,gerard.batten@europarl.europa.eu,GerardBattenMEP,http://www.europarl.europa.eu/meps/en/28497/_home.html
Catherine,Bearder,UK,South East,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,ABSTAINED,AGAINST,Liberal Democrats,LD,catherine.bearder@europarl.europa.eu,catherinemep,http://www.europarl.europa.eu/meps/en/96955/_home.html
Louise,Bours,UK,North West,EFDD,NOT PRESENT,NOT PRESENT,-,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,United Kingdom Independence Party,UKIP,louise.bours@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/124964/_home.html
Paul,Brannen,UK,North East,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Labour Party,LAB,paul.brannen@europarl.europa.eu,PaulBrannenNE,http://www.europarl.europa.eu/meps/en/124954/_home.html
Jonathan,Bullock,UK,East Midlands Region,EFDD,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,United Kingdom Independence Party,UKIP,jonathan.bullock@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/188733/_home.html
David,Campbell Bannerman,UK,Eastern Region,ECR,FOR,FOR,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Conservative Party,CP,david.campbellbannerman@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/96912/_home.html
James,Carver,UK,West Midlands,EFDD,AGAINST,FOR,-,FOR,FOR,ABSTAINED,AGAINST,AGAINST,Independent,Independent,James.carver@europarl.europa.eu,JamesJimCarver,http://www.europarl.europa.eu/meps/en/124971/_home.html
David,Coburn,UK,Scotland,EFDD,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,United Kingdom Independence Party,UKIP,david.coburn@europarl.europa.eu,DavidCoburnUKip,http://www.europarl.europa.eu/meps/en/124967/_home.html
Jane,Collins,UK,Yorkshire and the Humber,EFDD,NOT PRESENT,NOT PRESENT,-,FOR,FOR,AGAINST,AGAINST,AGAINST,United Kingdom Independence Party,UKIP,jane.collins@europarl.europa.eu,jane_collinsmep,http://www.europarl.europa.eu/meps/en/124955/_home.html
Richard,Corbett,UK,Yorkshire and the Humber,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Labour Party,LAB,richard.corbett@europarl.europa.eu,RCorbettMEP,http://www.europarl.europa.eu/meps/en/2309/_home.html
Daniel,Dalton,UK,West Midlands,ECR,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Conservative Party,CP,daniel.dalton@europarl.europa.eu,ddalton40,http://www.europarl.europa.eu/meps/en/35135/_home.html
Seb,Dance,UK,London,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Labour Party,LAB,seb.dance@europarl.europa.eu,SebDance,http://www.europarl.europa.eu/meps/en/124952/_home.html
Nirj,Deva,UK,South East,ECR,FOR,FOR,-,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,Conservative Party,CP,nirj.deva@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/4556/_home.html
Diane,Dodds,UK,Northern Ireland,Non-attached,AGAINST,FOR,-,AGAINST,AGAINST,FOR,FOR,FOR,Democratic Unionist Party,DUP,diane.dodds@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/96951/_home.html
Bill,Etheridge,UK,West Midlands,EFDD,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,United Kingdom Independence Party,UKIP,bill.etheridge@europarl.europa.eu,BillDudleyNorth,http://www.europarl.europa.eu/meps/en/124951/_home.html
Jill,Evans,UK,Wales,Greens/EFA,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Plaid Cymru - Party of Wales,PC,Jill.evans@europarl.europa.eu,JillEvansMEP,http://www.europarl.europa.eu/meps/en/4550/_home.html
Nigel,Farage,UK,South East,EFDD,AGAINST,FOR - CORRECTED,-,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,United Kingdom Independence Party,UKIP,nigel.farage@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/4525/_home.html
Raymond,Finch,UK,South East,EFDD,NOT PRESENT,NOT PRESENT,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,United Kingdom Independence Party,UKIP,raymond.finch@europarl.europa.eu,raymondfinch,http://www.europarl.europa.eu/meps/en/124941/_home.html
John,Flack,UK,Eastern Region,ECR,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Conservative Party,CP,john.flack@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/188623/_home.html
Jacqueline,Foster,UK,North West,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Conservative Party,CP,jacqueline.foster@europarl.europa.eu,jfostermep,http://www.europarl.europa.eu/meps/en/4553/_home.html
Ashley,Fox,UK,South West Region,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Conservative Party,CP,ashley.fox@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/96957/_home.html
Neena,Gill,UK,West Midlands,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Labour Party,LAB,neena.gill@europarl.europa.eu,neenaformep,http://www.europarl.europa.eu/meps/en/4533/_home.html
Nathan,Gill,UK,Wales,EFDD,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,United Kingdom Independence Party,UKIP,nathan.gill@europarl.europa.eu,NathanGillMEP,http://www.europarl.europa.eu/meps/en/124965/_home.html
Julie,Girling,UK,South West Region,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Conservative Party,CP,julie.girling@europarl.europa.eu,juliegirling,http://www.europarl.europa.eu/meps/en/96956/_home.html
Theresa,Griffin,UK,North West,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Labour Party,LAB,theresa.griffin@europarl.europa.eu,TheresaG_EU,http://www.europarl.europa.eu/meps/en/124961/_home.html
Daniel,Hannan,UK,South East,ECR,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,Conservative Party,CP,daniel.hannan@europarl.europa.eu,DanHannanMEP,http://www.europarl.europa.eu/meps/en/4555/_home.html
Mary,Honeyball,UK,London,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Labour Party,LAB,mary.honeyball@europarl.europa.eu,maryhoneyball,http://www.europarl.europa.eu/meps/en/5846/_home.html
Mike,Hookem,UK,Yorkshire and the Humber,Non-attached,AGAINST,AGAINST,-,FOR,FOR,AGAINST,AGAINST,AGAINST,United Kingdom Independence Party,UKIP,mike.hookem@europarl.europa.eu,Mike_Hookem,http://www.europarl.europa.eu/meps/en/124957/_home.html
John,Howarth,UK,South East,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Labour Party,LAB,john.howarth@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/188636/_home.html
Ian,Hudghton,UK,Scotland,Greens/EFA,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,Scottish National Party,SNP,ian.hudghton@europarl.europa.eu,hudghtonmepSNP,http://www.europarl.europa.eu/meps/en/2338/_home.html
Diane,James,UK,South East,Non-attached,NOT PRESENT,NOT PRESENT,-,FOR,FOR,ABSTAINED,AGAINST,AGAINST,Independent,Independent,diane.james@europarl.europa.eu,DianeJamesMEP,http://www.europarl.europa.eu/meps/en/124939/_home.html
Syed,Kamall,UK,London,ECR,AGAINST,NOT PRESENT,-,FOR,FOR,AGAINST,NOT PRESENT,AGAINST,Conservative Party,CP,syed.kamall@europarl.europa.eu,SyedKamall,http://www.europarl.europa.eu/meps/en/33569/_home.html
Sajjad,Karim,UK,North West,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Conservative Party,CP,sajjad.karim@europarl.europa.eu,SHKMEP,http://www.europarl.europa.eu/meps/en/28481/_home.html
Wajid,Khan,UK,North West,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Labour Party,LAB,wajid.khan@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/188624/_home.html
Jude,Kirton-Darling,UK,North East,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Labour Party,LAB,jude.kirton-darling@europarl.europa.eu,Jude_KD,http://www.europarl.europa.eu/meps/en/124953/_home.html
Jean,Lambert,UK,London,Greens/EFA,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Green Party,GRN,jean.lambert@europarl.europa.eu,GreenJeanMEP,http://www.europarl.europa.eu/meps/en/4531/_home.html
David,Martin,UK,Scotland,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Labour Party,LAB,david.martin@europarl.europa.eu,davidmartinmep,http://www.europarl.europa.eu/meps/en/1403/_home.html
Rupert,Matthews,UK,East Midlands Region,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Conservative Party,CP,rupert.matthews@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/188622/_home.html
Alex,Mayer,UK,Eastern Region,S&D,AGAINST,FOR,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Labour Party,LAB,alex.mayer@europarl.europa.eu,alexlmayer,http://www.europarl.europa.eu/meps/en/185637/_home.html
Linda,McAvan,UK,Yorkshire and the Humber,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Labour Party,LAB,linda.mcavan@europarl.europa.eu,LindaMcAvanMEP,http://www.europarl.europa.eu/meps/en/2327/_home.html
Emma,Mcclarkin,UK,East Midlands Region,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Conservative Party,CP,emma.mcclarkin@europarl.europa.eu,EmmaMcClarkin,http://www.europarl.europa.eu/meps/en/96919/_home.html
Anthea,Mcintyre,UK,West Midlands,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Conservative Party,CP,anthea.mcintyre@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/111011/_home.html
Baroness Nosheena,Mobarik,UK,Scotland,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,ABSTAINED,Conservative Party,CP,nosheena.mobarik@ep.europa.eu,NosheenaMobarik,http://www.europarl.europa.eu/meps/en/189391/_home.html
Clare,Moody,UK,South West Region,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Labour Party,LAB,clare.moody@europarl.europa.eu,ClareMoodyMEP,http://www.europarl.europa.eu/meps/en/124944/_home.html
Claude,Moraes,UK,London,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Labour Party,LAB,claude.moraes@europarl.europa.eu,ClaudeMoraesMEP,http://www.europarl.europa.eu/meps/en/4519/_home.html
James,Nicholson,UK,Northern Ireland,ECR,FOR,AGAINST - CORRECTED,-,AGAINST,AGAINST,FOR,FOR,FOR,Ulster Unionist Party,UUP,james.nicholson@europarl.europa.eu,JimNicholsonMEP,http://www.europarl.europa.eu/meps/en/1318/_home.html
Paul,Nuttall,UK,North West,EFDD,NOT PRESENT,NOT PRESENT,-,FOR,FOR,AGAINST,AGAINST,NOT PRESENT,United Kingdom Independence Party,UKIP,paul.nuttall@europarl.europa.eu,paulnuttallukip,http://www.europarl.europa.eu/meps/en/96805/_home.html
Patrick,O'Flynn,UK,Eastern Region,EFDD,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,United Kingdom Independence Party,UKIP,patrick.oflynn@europarl.europa.eu,oflynnmep,http://www.europarl.europa.eu/meps/en/124940/_home.html
Rory,Palmer,UK,East Midlands Region,S&D,NOT PRESENT,NOT PRESENT,-,AGAINST,AGAINST,FOR,FOR,FOR,Labour Party,LAB,rory.palmer@ep.europa.eu,Rory_Palmer,http://www.europarl.europa.eu/meps/en/190099/_home.html
Margot,Parker,UK,East Midlands Region,EFDD,NOT PRESENT,NOT PRESENT,-,FOR,FOR,AGAINST,AGAINST,AGAINST,United Kingdom Independence Party,UKIP,margot.parker@europarl.europa.eu,MargotLJParker,http://www.europarl.europa.eu/meps/en/124945/_home.html
